,winery,wine,year,rating,num_reviews,region,price,latitude,longitude
313,Emilio Moro,Clon De La Familia,2015.0,4.6,39,Ribera del Duero,249.9,41.66575665,-3.686329463971761
315,Sierra Cantabria,Finca el Bosque,2002.0,4.6,38,Rioja,128.0,42.2814642,-2.482804975070473
316,Descendientes de J. Palacios,Valdafoz Bierzo (Corullon),2011.0,4.6,38,Bierzo,135.5,42.65265025,-6.62318404217132
317,Ukan Winery,Tinto,2019.0,4.6,38,Rioja Alavesa,40.5,42.54415095,-2.5454223587321856
318,Finca Moncloa,Tintilla de Rota,2017.0,4.6,37,Cadiz,43.1,36.5297438,-6.2928976
319,Bodegas Mas Alta,La Creu Alta,2017.0,4.6,36,Priorato,85.0,44.8741121,10.1628956
321,Dominio de Atauta,Valdegatiles Ribera del Duero,2012.0,4.6,34,Ribera del Duero,106.35,41.66575665,-3.686329463971761
323,Micro Bio (MicroBio),Respublica Verdejo,2016.0,4.6,33,Vino de Espana,75.95,42.1771554,-8.4341104
324,Dominio del Aguila,Gran Reserva Penas Aladas,2015.0,4.6,33,Ribera del Duero,185.3,41.66575665,-3.686329463971761
325,Terroir Al Limit Soc. Lda,Les Tosses,2016.0,4.6,33,Priorato,205.95,44.8741121,10.1628956
326,Finca Torremilanos,Torremilanos Coleccion Ribera del Duero,2016.0,4.6,32,Ribera del Duero,40.45,41.66575665,-3.686329463971761
327,Artadi,El Carretil,2017.0,4.6,32,Vino de Espana,176.89,42.1771554,-8.4341104
328,Huerta de Albala,Taberner No. 1,2013.0,4.6,32,Cadiz,79.9,36.5297438,-6.2928976
329,Gomez Cruzado,Vina Motulleri,2011.0,4.6,30,Rioja,79.0,42.2814642,-2.482804975070473
330,Castell d'Encus,Saktih,2013.0,4.6,30,Costers del Segre,195.27,41.502298249999996,0.8273990115524253
331,Abadia Retuerta,Cuvee Palomar,2017.0,4.6,30,Sardon de Duero,58.9,41.6085193,-4.4339323
333,Dominio de Atauta,Valdegatiles Ribera del Duero,2013.0,4.6,29,Ribera del Duero,111.9,41.66575665,-3.686329463971761
334,Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2017.0,4.6,29,Utiel-Requena,29.95,39.4880777,-1.1001643
335,Enate,Uno Tinto,2010.0,4.6,28,Somontano,129.9,42.0883878,0.09940412890672314
336,Benjamin de Rothschild - Vega Sicilia,Macan,2017.0,4.6,28,Rioja,69.95,42.2814642,-2.482804975070473
337,Mas Doix,1903 Centenary Grenache,2016.0,4.6,28,Priorato,299.0,44.8741121,10.1628956
339,Bodegas Aragonesas,Galiano Seleccion Especial,2013.0,4.6,28,Campo de Borja,99.95,41.78654145,-1.5058322706803928
340,Telmo Rodriguez,Molino Real,2016.0,4.6,28,Malaga,41.69,36.7213028,-4.4216366
341,Anima Negra,Son Negre,2004.0,4.6,27,Mallorca,374.35,39.613432,2.880353635614984
342,Tomas Postigo,5o Ano Ribera del Duero Tinto,2017.0,4.6,27,Ribera del Duero,46.45,41.66575665,-3.686329463971761
344,Acustic Celler,Etern Vinyes Molt Velles,2016.0,4.6,26,Priorato,42.5,44.8741121,10.1628956
345,Vina Pedrosa,40 Aniversario Gran Reserva,2012.0,4.6,25,Ribera del Duero,95.0,41.66575665,-3.686329463971761
347,Recaredo,Corpinnat Enoteca Reserva Particular de Recaredo,2004.0,4.6,25,Cataluna,130.0,41.8523094,1.5745043
352,Pintia,Toro,2014.0,4.5,5863,Toro,69.0,41.5216963,-5.3939824
353,Pago de Carraovejas,Tinto,2018.0,4.5,5372,Ribera del Duero,45.0,41.66575665,-3.686329463971761
354,Alion,Ribera del Duero,2015.0,4.5,5365,Ribera del Duero,75.0,41.66575665,-3.686329463971761
355,Pintia,Toro,2015.0,4.5,4979,Toro,69.8,41.5216963,-5.3939824
356,Pago de Carraovejas,Tinto,2017.0,4.5,4935,Ribera del Duero,121.936825872994,41.66575665,-3.686329463971761
357,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016.0,4.5,4411,Ribera del Duero,78.65,41.66575665,-3.686329463971761
358,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2005.0,4.5,3521,Rioja,400.0,42.2814642,-2.482804975070473
359,La Rioja Alta,Gran Reserva 890,2005.0,4.5,3443,Rioja,125.0,42.2814642,-2.482804975070473
360,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2009.0,4.5,3148,Rioja,229.0,42.2814642,-2.482804975070473
361,Pintia,Toro,2016.0,4.5,3118,Toro,40.41,41.5216963,-5.3939824
362,Dominio de Pingus,Flor de Pingus,2016.0,4.5,2887,Ribera del Duero,101.94,41.66575665,-3.686329463971761
363,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2015.0,4.5,2858,Ribera del Duero,172.5,41.66575665,-3.686329463971761
364,Bodegas El Nido,Clio,2015.0,4.5,2712,Jumilla,33.2,38.4735408,-1.3285417
365,Dominio de Pingus,Flor de Pingus,2014.0,4.5,2710,Ribera del Duero,125.0,41.66575665,-3.686329463971761
366,Dominio de Pingus,Flor de Pingus,2010.0,4.5,2551,Ribera del Duero,125.0,41.66575665,-3.686329463971761
367,Dominio de Pingus,Flor de Pingus,2015.0,4.5,2530,Ribera del Duero,125.0,41.66575665,-3.686329463971761
368,Bodegas El Nido,Clio,2016.0,4.5,2228,Jumilla,31.75,38.4735408,-1.3285417
369,Bodegas El Nido,Clio,2017.0,4.5,2220,Jumilla,39.5,38.4735408,-1.3285417
370,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011.0,4.5,2207,Ribera del Duero,64.0,41.66575665,-3.686329463971761
371,Pago de Carraovejas,Tinto,2019.0,4.5,2144,Ribera del Duero,33.8,41.66575665,-3.686329463971761
372,Benjamin de Rothschild - Vega Sicilia,Macan,2014.0,4.5,1910,Rioja,58.95,42.2814642,-2.482804975070473
373,Aalto,Tinto,2018.0,4.5,1864,Ribera del Duero,33.25,41.66575665,-3.686329463971761
374,Bodegas El Nido,Clio,2018.0,4.5,1520,Jumilla,61.8491765262698,38.4735408,-1.3285417
375,Alto Moncayo,Garnacha,2017.0,4.5,1503,Campo de Borja,44.27,41.78654145,-1.5058322706803928
376,Pago de Los Capellanes,Parcela El Nogal Tinto,2015.0,4.5,1393,Ribera del Duero,45.9,41.66575665,-3.686329463971761
377,Vega Sicilia,Valbuena 5o,2003.0,4.5,1346,Ribera del Duero,239.2,41.66575665,-3.686329463971761
378,Benjamin de Rothschild - Vega Sicilia,Macan,2015.0,4.5,1345,Rioja,68.9,42.2814642,-2.482804975070473
379,Alion,Ribera del Duero,2003.0,4.5,1236,Ribera del Duero,164.0,41.66575665,-3.686329463971761
380,Belondrade,Belondrade y Lurton,2018.0,4.5,1192,Rueda,32.85,41.4129785,-4.9597533
381,Pago de Los Capellanes,Parcela El Nogal Tinto,2014.0,4.5,1163,Ribera del Duero,40.95,41.66575665,-3.686329463971761
382,Pago de Carraovejas,Reserva,2014.0,4.5,1148,Ribera del Duero,69.5803235920536,41.66575665,-3.686329463971761
383,Dominio de Pingus,Flor de Pingus,2017.0,4.5,1094,Ribera del Duero,110.0,41.66575665,-3.686329463971761
384,Remirez de Ganuza,Rioja Reserva,2012.0,4.5,1089,Rioja,49.75,42.2814642,-2.482804975070473
385,Muga,Prado Enea Gran Reserva,2014.0,4.5,1014,Rioja,51.0,42.2814642,-2.482804975070473
386,Remirez de Ganuza,Rioja Reserva,2011.0,4.5,1012,Rioja,59.9,42.2814642,-2.482804975070473
387,La Rioja Alta,Gran Reserva 890,2004.0,4.5,990,Rioja,290.7,42.2814642,-2.482804975070473
388,Belondrade,Belondrade y Lurton,2019.0,4.5,961,Rueda,37.7,41.4129785,-4.9597533
389,Clos Mogador,Priorat,2015.0,4.5,955,Priorato,146.95,44.8741121,10.1628956
391,Muga,Torre Muga,2016.0,4.5,838,Rioja,70.5,42.2814642,-2.482804975070473
392,Benjamin de Rothschild - Vega Sicilia,Macan,2016.0,4.5,813,Rioja,64.0,42.2814642,-2.482804975070473
393,Bodega Numanthia,Termanthia,2010.0,4.5,729,Toro,168.0,41.5216963,-5.3939824
394,Emilio Moro,Malleolus de Valderramiro,2011.0,4.5,719,Ribera del Duero,173.95,41.66575665,-3.686329463971761
395,Clos Mogador,Priorat,2017.0,4.5,666,Priorato,65.0,44.8741121,10.1628956
396,Marques de Murrieta,Dalmau Rioja,2014.0,4.5,642,Rioja,67.6,42.2814642,-2.482804975070473
397,Hacienda Monasterio,Reserva,2015.0,4.5,629,Ribera del Duero,53.95,41.66575665,-3.686329463971761
398,Pago de Los Capellanes,Parcela El Nogal Tinto,2016.0,4.5,595,Ribera del Duero,42.95,41.66575665,-3.686329463971761
400,Bodegas El Nido,Clio,2019.0,4.5,550,Jumilla,47.3,38.4735408,-1.3285417
401,Muga,Aro,2015.0,4.5,529,Rioja,169.4,42.2814642,-2.482804975070473
402,Remirez de Ganuza,Gran Reserva,2007.0,4.5,529,Rioja,121.838963251908,42.2814642,-2.482804975070473
403,Senorio de San Vicente,San Vicente Rioja,2017.0,4.5,505,Rioja,34.8,42.2814642,-2.482804975070473
404,Carmelo Rodero,Ribera del Duero TSM,2017.0,4.5,503,Ribera del Duero,55.35,41.66575665,-3.686329463971761
405,Vina Sastre,Pago de Santa Cruz,2016.0,4.5,501,Ribera del Duero,75.95,41.66575665,-3.686329463971761
406,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2011.0,4.5,500,Ribera del Duero,48.7,41.66575665,-3.686329463971761
407,Remirez de Ganuza,Trasnocho,2012.0,4.5,499,Rioja,118.89,42.2814642,-2.482804975070473
408,Costers del Siurana,Clos de L'Obac,2005.0,4.5,493,Priorato,92.8716274104906,44.8741121,10.1628956
410,Arzuaga,Reserva Ribera del Duero,2017.0,4.5,477,Ribera del Duero,31.8,41.66575665,-3.686329463971761
411,La Rioja Alta,Gran Reserva 890,2010.0,4.5,469,Rioja,149.5,42.2814642,-2.482804975070473
412,Francisco Barona,Ribera Del Duero,2018.0,4.5,462,Ribera del Duero,35.85,41.66575665,-3.686329463971761
413,Vina Sastre,Pago de Santa Cruz,2015.0,4.5,420,Ribera del Duero,82.95,41.66575665,-3.686329463971761
414,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2012.0,4.5,406,Ribera del Duero,59.0,41.66575665,-3.686329463971761
415,Juan Gil,Bruto,2018.0,4.5,384,Jumilla,37.7,38.4735408,-1.3285417
416,Lan,Culmen Reserva Rioja,2015.0,4.5,365,Rioja,42.75,42.2814642,-2.482804975070473
417,Bodegas Roda,Cirsion Rioja,2016.0,4.5,353,Rioja,175.57,42.2814642,-2.482804975070473
418,Clos Mogador,Priorat,2018.0,4.5,336,Priorato,61.64,44.8741121,10.1628956
419,Juan Gil,Bruto,2017.0,4.5,322,Jumilla,30.7,38.4735408,-1.3285417
420,Bodegas Mauro,VS,2017.0,4.5,318,Castilla y Leon,56.5,41.8037172,-4.7471726
421,Bodega Numanthia,Termanthia,2013.0,4.5,316,Toro,207.11,41.5216963,-5.3939824
422,Remirez de Ganuza,Trasnocho,2011.0,4.5,301,Rioja,110.5,42.2814642,-2.482804975070473
423,Hacienda Monasterio,Reserva,2016.0,4.5,297,Ribera del Duero,55.95,41.66575665,-3.686329463971761
425,Abadia Retuerta,Petit Verdot,2015.0,4.5,286,Sardon de Duero,107.9,41.6085193,-4.4339323
426,Tomas Postigo,5o Ano Ribera del Duero Tinto,2011.0,4.5,264,Ribera del Duero,69.9,41.66575665,-3.686329463971761
427,Dominio del Bendito,El Titan del Bendito,2017.0,4.5,261,Toro,49.5,41.5216963,-5.3939824
428,Abadia Retuerta,Petit Verdot,2014.0,4.5,249,Sardon de Duero,176.98,41.6085193,-4.4339323
429,Sierra Cantabria,Amancio,2012.0,4.5,246,Rioja,90.0,42.2814642,-2.482804975070473
430,Martinet,Clos Martinet,2014.0,4.5,230,Priorato,65.0,44.8741121,10.1628956
431,Remirez de Ganuza,Trasnocho,2006.0,4.5,229,Rioja,95.0,42.2814642,-2.482804975070473
432,Adama Wines,Tinto,2009.0,4.5,229,Ribera del Duero,39.0,41.66575665,-3.686329463971761
434,Muga,Aro,2016.0,4.5,222,Rioja,174.91,42.2814642,-2.482804975070473
436,Milsetentayseis,Tinto,2018.0,4.5,218,Ribera del Duero,52.9,41.66575665,-3.686329463971761
437,Vina Sastre,Pago de Santa Cruz,2017.0,4.5,217,Ribera del Duero,40.9,41.66575665,-3.686329463971761
438,Espectacle del Montsant,Tinto,2013.0,4.5,214,Montsant,157.95,41.1171253,1.211005
439,Tinto Pesquera,Millenium Gran Reserva,2015.0,4.5,213,Ribera del Duero,77.5,41.66575665,-3.686329463971761
440,Vina Sastre,Regina Vides Ribera del Duero,2011.0,4.5,213,Ribera del Duero,116.0,41.66575665,-3.686329463971761
441,Alvaro Palacios,Finca Dofi,2006.0,4.5,207,Priorato,75.0,44.8741121,10.1628956
442,Arzuaga,Gran Reserva Ribera del Duero,2015.0,4.5,205,Ribera del Duero,80.98,41.66575665,-3.686329463971761
443,Contino,Vina del Olivo,2017.0,4.5,203,Rioja,64.5,42.2814642,-2.482804975070473
444,Dominio de Pingus,Flor de Pingus,2019.0,4.5,201,Ribera del Duero,118.5,41.66575665,-3.686329463971761
445,Ferrer Bobet,Seleccio Especial Vinyes Velles,2015.0,4.5,197,Priorato,64.0,44.8741121,10.1628956
446,Clos Mogador,Priorat,2003.0,4.5,196,Priorato,95.0,44.8741121,10.1628956
447,Allende,Calvario Rioja,2009.0,4.5,194,Rioja,125.97,42.2814642,-2.482804975070473
448,Bodegas Valduero,Ribera del Duero Una Cepa I,2017.0,4.5,194,Ribera del Duero,26.5,41.66575665,-3.686329463971761
449,Matarromera,Ribera del Duero Prestigio,2015.0,4.5,190,Ribera del Duero,54.01,41.66575665,-3.686329463971761
450,Vina Sastre,Regina Vides Ribera del Duero,2014.0,4.5,189,Ribera del Duero,104.9,41.66575665,-3.686329463971761
451,Familia Torres,Grans Muralles,2015.0,4.5,189,Conca de Barbera,170.5,41.44389565,1.1885113323042593
452,Vina Sastre,Pesus Ribera del Duero,2014.0,4.5,189,Ribera del Duero,315.0,41.66575665,-3.686329463971761
453,Pazo Barrantes,Gran Vino Albarino,2019.0,4.5,188,Rias Baixas,34.9,42.3533841,-7.8778072
454,Arzuaga,Reserva Especial Ribera del Duero,2015.0,4.5,187,Ribera del Duero,51.5,41.66575665,-3.686329463971761
456,Abadia Retuerta,Pago Garduna,2016.0,4.5,186,Castilla y Leon,71.85,41.8037172,-4.7471726
457,Belondrade,Belondrade y Lurton,2020.0,4.5,184,Rueda,38.9,41.4129785,-4.9597533
458,Pintia,Toro,2017.0,4.5,178,Toro,54.09,41.5216963,-5.3939824
459,Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017.0,4.5,174,Rioja,67.9,42.2814642,-2.482804975070473
460,Sierra Cantabria,Finca el Bosque,2016.0,4.5,173,Rioja,80.95,42.2814642,-2.482804975070473
462,Bodega Contador (Benjamin Romeo),Que Bonito Cacareaba Blanco,2018.0,4.5,170,Rioja,50.34,42.2814642,-2.482804975070473
463,Tomas Postigo,5o Ano Ribera del Duero Tinto,2014.0,4.5,165,Ribera del Duero,57.96,41.66575665,-3.686329463971761
464,Marques de Riscal,Baron de Chirel Rioja Reserva,2016.0,4.5,163,Rioja,73.62,42.2814642,-2.482804975070473
465,Ossian,Capitel,2016.0,4.5,162,Castilla y Leon,144.78,41.8037172,-4.7471726
466,Recaredo,Turo d'en Mota,2005.0,4.5,161,Cava,90.0,42.31658175,1.6111496867672197
467,Sierra Cantabria,Amancio,2015.0,4.5,156,Rioja,89.95,42.2814642,-2.482804975070473
468,Vina Sastre,Regina Vides Ribera del Duero,2015.0,4.5,154,Ribera del Duero,92.8,41.66575665,-3.686329463971761
470,Vina Sastre,Regina Vides Ribera del Duero,2016.0,4.5,144,Ribera del Duero,70.55,41.66575665,-3.686329463971761
471,Recaredo,Turo d'en Mota,2006.0,4.5,142,Cava,110.0,42.31658175,1.6111496867672197
472,Martinet,Cami Pesseroles,2009.0,4.5,141,Priorato,139.3,44.8741121,10.1628956
473,Dominio del Aguila,Reserva,2018.0,4.5,141,Ribera del Duero,59.8,41.66575665,-3.686329463971761
474,Sierra Cantabria,Amancio,2014.0,4.5,140,Rioja,75.0,42.2814642,-2.482804975070473
475,Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015.0,4.5,140,Ribera del Duero,57.0,41.66575665,-3.686329463971761
476,Artadi,Vina El Pison,2013.0,4.5,137,Vino de Espana,253.47,42.1771554,-8.4341104
477,Emilio Rojo,Blanco,2017.0,4.5,134,Ribeiro,49.95,42.31990645,-8.152266856014716
478,Vina Sastre,Pesus Ribera del Duero,2015.0,4.5,134,Ribera del Duero,298.0,41.66575665,-3.686329463971761
479,Abadia Retuerta,Pago Garduna,2009.0,4.5,132,Castilla y Leon,73.6,41.8037172,-4.7471726
480,Bodegas Mas Alta,La Basseta,2013.0,4.5,132,Priorato,58.0,44.8741121,10.1628956
481,Territorio Luthier,Territorio Luthier Reserva,2016.0,4.5,128,Ribera del Duero,54.0,41.66575665,-3.686329463971761
482,Alion,Ribera del Duero,2018.0,4.5,128,Ribera del Duero,78.38,41.66575665,-3.686329463971761
484,Anima Negra,Son Negre,2011.0,4.5,121,Mallorca,228.9,39.613432,2.880353635614984
485,Costers del Siurana,Clos de L'Obac,2010.0,4.5,121,Priorato,81.3,44.8741121,10.1628956
486,Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018.0,4.5,117,Ribera del Duero,165.0,41.66575665,-3.686329463971761
487,Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014.0,4.5,115,Ribera del Duero,54.9,41.66575665,-3.686329463971761
488,Rafael Palacios,As Sortes Val do Bibei Godello,2020.0,4.5,115,Valdeorras,55.0,42.34834155,-6.9659982204038755
489,Martinet,Cami Pesseroles,2010.0,4.5,113,Priorato,131.85,44.8741121,10.1628956
490,Pago de Los Capellanes,Parcela El Picon Tinto,2015.0,4.5,113,Ribera del Duero,148.39,41.66575665,-3.686329463971761
491,Adama Wines,Tinto,2011.0,4.5,110,Ribera del Duero,39.0,41.66575665,-3.686329463971761
492,Jesus Madrazo,Seleccion Rioja,2015.0,4.5,107,Rioja,67.1,42.2814642,-2.482804975070473
494,Bodegas Naluar & Acediano,Acediano,2015.0,4.5,104,Ribera del Duero,52.0,41.66575665,-3.686329463971761
495,Marques de Caceres,Gaudium,2016.0,4.5,104,Rioja,34.9,42.2814642,-2.482804975070473
496,Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017.0,4.5,103,Ribera del Duero,75.81,41.66575665,-3.686329463971761
497,Sierra Cantabria,Finca el Bosque,2017.0,4.5,103,Rioja,84.36,42.2814642,-2.482804975070473
498,Trus,Pico de Luyas,2016.0,4.5,103,Ribera del Duero,47.95,41.66575665,-3.686329463971761
499,Artadi,Grandes Anadas Rioja,2001.0,4.5,103,Rioja,391.65,42.2814642,-2.482804975070473
500,Juan Gil,Bruto,2019.0,4.5,104,Jumilla,32.5,38.4735408,-1.3285417
501,Muga,Aro,2004.0,4.5,102,Rioja,198.0,42.2814642,-2.482804975070473
502,Mestres,Mas Via Gran Reserva Brut,2004.0,4.5,102,Cava,40.33,42.31658175,1.6111496867672197
503,Alvaro Palacios,Les Aubaguetes Priorat,2015.0,4.5,99,Priorato,302.5,44.8741121,10.1628956
504,Quinta de la Quietud,La Mula de la Quietud,2016.0,4.5,99,Toro,62.0,41.5216963,-5.3939824
505,Chivite,Navarra Coleccion 125 Blanco,2018.0,4.5,97,Navarra,49.1,42.61254875,-1.830787673361753
506,Marques de Murrieta,Dalmau Rioja,2015.0,4.5,97,Rioja,75.0,42.2814642,-2.482804975070473
507,Enate,Chardonnay Uno,2011.0,4.5,96,Somontano,200.13,42.0883878,0.09940412890672314
509,Bodega Ribas,Ribas de Cabrera,2018.0,4.5,94,Mallorca,68.4059721390231,39.613432,2.880353635614984
510,Vinas del Cenit,Cenit,2012.0,4.5,92,Tierra del Vino de Zamora,37.5,41.3601378,-5.726771
511,Artadi,El Carretil,2012.0,4.5,88,Vino de Espana,165.0,42.1771554,-8.4341104
512,Alvaro Palacios,Quinon de Valmira,2016.0,4.5,88,Rioja,415.0,42.2814642,-2.482804975070473
513,Bodegas Naluar & Acediano,Acediano,2014.0,4.5,87,Ribera del Duero,74.0,41.66575665,-3.686329463971761
514,Mas del Serral,Mas del Serral,2007.0,4.5,82,Penedes,192.16,33.4742351,-117.627579
515,Cervoles,Estrats,2009.0,4.5,81,Costers del Segre,59.82,41.502298249999996,0.8273990115524253
516,Anima Negra,Son Negre,2016.0,4.5,81,Mallorca,164.9,39.613432,2.880353635614984
519,Sierra Cantabria,Finca el Bosque,2018.0,4.5,81,Rioja,85.95,42.2814642,-2.482804975070473
520,Familia Torres,Grans Muralles,2000.0,4.5,81,Conca de Barbera,125.05,41.44389565,1.1885113323042593
521,Emilio Moro,Malleolus de Valderramiro,2018.0,4.5,82,Ribera del Duero,85.55,41.66575665,-3.686329463971761
522,Bodega Contador (Benjamin Romeo),Contador Rioja,2016.0,4.5,80,Rioja,317.75,42.2814642,-2.482804975070473
523,Adama Wines,Tinto,2010.0,4.5,79,Ribera del Duero,35.0,41.66575665,-3.686329463971761
525,Martinet,Cami Pesseroles,2014.0,4.5,78,Priorato,82.55,44.8741121,10.1628956
526,Clos Mogador,Priorat,2019.0,4.5,76,Priorato,63.9,44.8741121,10.1628956
527,Marques de Burgos,8000,2017.0,4.5,75,Ribera del Duero,29.95,41.66575665,-3.686329463971761
528,Vina Sastre,Pesus Ribera del Duero,2009.0,4.5,75,Ribera del Duero,312.6,41.66575665,-3.686329463971761
529,Bodegas Mas Alta,La Basseta,2017.0,4.5,75,Priorato,58.95,44.8741121,10.1628956
530,Artadi,La Poza de Ballesteros,2010.0,4.5,74,Vino de Espana,99.35,42.1771554,-8.4341104
531,Penafiel,Mironia Black Edition Tempranillo,2015.0,4.5,73,Ribera del Duero,49.5,41.66575665,-3.686329463971761
532,Bodegas Mas Alta,La Creu Alta,2015.0,4.5,73,Priorato,234.98,44.8741121,10.1628956
533,Costers del Siurana,Miserere,2010.0,4.5,74,Priorato,78.5,44.8741121,10.1628956
534,Muga,Prado Enea Gran Reserva,2015.0,4.5,72,Rioja,56.95,42.2814642,-2.482804975070473
535,Tobia,Alma Tobia Rioja,2015.0,4.5,72,Rioja,40.0,42.2814642,-2.482804975070473
536,Tresmano - Tr3smano,Tm,2016.0,4.5,71,Ribera del Duero,100.0,41.66575665,-3.686329463971761
537,Mas Doix,Doix,2017.0,4.5,71,Priorato,79.9,44.8741121,10.1628956
538,Sei Solo,Tinto,2012.0,4.5,70,Ribera del Duero,63.5,41.66575665,-3.686329463971761
539,Miguel Merino,La Loma,2017.0,4.5,69,Rioja Alta,38.9,42.4157318,-2.87947386168831
540,Finca Villacreces,Nebro Ribera del Duero,2011.0,4.5,69,Ribera del Duero,154.5,41.66575665,-3.686329463971761
541,Clos Erasmus,Priorat,2012.0,4.5,69,Priorato,374.66,44.8741121,10.1628956
542,Artadi,El Carretil,2015.0,4.5,66,Vino de Espana,143.51,42.1771554,-8.4341104
543,Virgen de la Asuncion,El Canto del Angel,2014.0,4.5,66,Ribera del Duero,59.95,41.66575665,-3.686329463971761
544,Artadi,Grandes Anadas Rioja,1998.0,4.5,66,Rioja,467.65,42.2814642,-2.482804975070473
545,Remirez de Ganuza,Rioja Blanco Reserva,2012.0,4.5,66,Rioja,65.5,42.2814642,-2.482804975070473
546,Remirez de Ganuza,Gran Reserva,2011.0,4.5,65,Rioja,88.5,42.2814642,-2.482804975070473
548,Allende,Calvario Rioja,2002.0,4.5,61,Rioja,95.0,42.2814642,-2.482804975070473
549,Dominio del Aguila,Gran Reserva Penas Aladas,2012.0,4.5,61,Ribera del Duero,559.02,41.66575665,-3.686329463971761
550,Martinet,Cami Pesseroles,2012.0,4.5,60,Priorato,115.85,44.8741121,10.1628956
552,Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2005.0,4.5,59,Priorato,266.81,44.8741121,10.1628956
553,Dehesa del Carrizal,Coleccion Privada,2017.0,4.5,59,Dehesa del Carrizal,26.9,39.8296209,-5.1788648
554,Tarsus,Finca El Canto,2015.0,4.5,58,Ribera del Duero,89.66,41.66575665,-3.686329463971761
555,Hacienda Solano,Finca Cascorrales,2016.0,4.5,57,Ribera del Duero,64.3,41.66575665,-3.686329463971761
558,Adama Wines,Tinto,2007.0,4.5,55,Ribera del Duero,32.0,41.66575665,-3.686329463971761
562,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014.0,4.5,53,Ribera del Duero,49.9,41.66575665,-3.686329463971761
563,Enate,Reserva Especial,2006.0,4.5,53,Somontano,65.9,42.0883878,0.09940412890672314
564,Divina Proporcion,Platon Tinto,2019.0,4.5,52,Toro,25.9,41.5216963,-5.3939824
565,Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013.0,4.5,51,Vino de Espana,58.19,42.1771554,-8.4341104
566,Dominio del Aguila,Canta la Perdiz,2013.0,4.5,51,Ribera del Duero,295.0,41.66575665,-3.686329463971761
567,Marques de la Concordia,Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja),2016.0,4.5,50,Rioja,35.5,42.2814642,-2.482804975070473
568,Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2013.0,4.5,49,Cava,53.7,42.31658175,1.6111496867672197
569,Penafiel,Alba de Miros Rueda Verdejo,2019.0,4.5,49,Rueda,9.9,41.4129785,-4.9597533
570,Carmelo Rodero,Ribera del Duero TSM,2006.0,4.5,48,Ribera del Duero,40.8333333333333,41.66575665,-3.686329463971761
571,Dominio de Cair,Pendon De La Aguilera,2010.0,4.5,47,Ribera del Duero,299.286840932831,41.66575665,-3.686329463971761
572,Valquejigoso,V2 Tinto,2009.0,4.5,49,Madrid,43.6838985,40.4167047,-3.7035825
573,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2003.0,4.5,46,Priorato,1372.14,44.8741121,10.1628956
574,Martinet,Cami Pesseroles,2016.0,4.5,46,Priorato,79.55,44.8741121,10.1628956
575,Cal Pla,Planots Priorat,2013.0,4.5,46,Priorato,57.0,44.8741121,10.1628956
576,Veigamoura,Blanco,2013.0,4.5,45,Rias Baixas,14.96,42.3533841,-7.8778072
577,Vizcarra,Celia,2011.0,4.5,44,Ribera del Duero,60.06,41.66575665,-3.686329463971761
578,Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2010.0,4.5,44,Ribera del Duero,237.0,41.66575665,-3.686329463971761
579,Clos Erasmus,Priorat,1998.0,4.5,43,Priorato,993.28,44.8741121,10.1628956
580,Legaris,Calmo,2014.0,4.5,43,Ribera del Duero,71.9,41.66575665,-3.686329463971761
582,Marques de Murrieta,Dalmau Rioja,2000.0,4.5,42,Rioja,48.5,42.2814642,-2.482804975070473
583,Anima Negra,Son Negre,2005.0,4.5,42,Mallorca,200.0,39.613432,2.880353635614984
584,Vinicola Real,Confesor Rioja,2004.0,4.5,42,Rioja,107.5,42.2814642,-2.482804975070473
585,Bodegas San Roman,Cartago Paraje de Pozo,2016.0,4.5,42,Toro,77.5,41.5216963,-5.3939824
586,Losada,La Bienquerida,2019.0,4.5,41,Bierzo,32.9,42.65265025,-6.62318404217132
587,Clos d'Agon,Seleccion Especial,2015.0,4.5,40,Cataluna,93.51,41.8523094,1.5745043
589,Huerta de Albala,Taberner No. 1,2011.0,4.5,38,Cadiz,75.0,36.5297438,-6.2928976
590,Uvaguilera Aguilera,Palomero,2010.0,4.5,38,Ribera del Duero,44.95,41.66575665,-3.686329463971761
